"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","below_below_below_species","subspecies","below_subspecies","below_below_subspecies","below_below_below_subspecies"
"204429","204428","class","Chlamydiia","1","131567","2","1783257","","204428","","","","204429","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"191410","1090","class","Chlorobia","1","131567","2","1783270","68336","1090","","","","191410","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32061","200795","class","Chloroflexia","1","131567","2","1783272","","200795","","","","32061","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118001","200938","class","Chrysiogenetes","1","131567","2","","","200938","","","","118001","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","1783272","","1239","","","","186801","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84998","201174","class","Coriobacteriia","1","131567","2","1783272","","201174","","","","84998","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"768503","976","class","Cytophagia","1","131567","2","1783270","68336","976","","","","768503","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68337","200930","class","Deferribacteres","1","131567","2","","","200930","","","","68337","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"301297","200795","class","Dehalococcoidia","1","131567","2","1783272","","200795","","","","301297","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188787","1297","class","Deinococci","1","131567","2","1783272","","1297","","","","188787","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28221","68525","class","Deltaproteobacteria","1","131567","2","","","1224","","","68525","28221","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203486","68297","class","Dictyoglomia","1","131567","2","","","68297","","","","203486","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"641853","74152","class","Elusimicrobia","1","131567","2","","","74152","","","","641853","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"447830","74152","class","Endomicrobia","1","131567","2","","","74152","","","","447830","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29547","68525","class","Epsilonproteobacteria","1","131567","2","","","1224","","","68525","29547","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"526524","1239","class","Erysipelotrichia","1","131567","2","1783272","","1239","","","","526524","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204430","65842","class","Fibrobacteria","1","131567","2","1783270","","65842","","","","204430","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1663419","67819","class","Fimbriimonadia","1","131567","2","1783272","","67819","","","","1663419","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117743","976","class","Flavobacteriia","1","131567","2","1783270","68336","976","","","","117743","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203490","32066","class","Fusobacteriia","1","131567","2","","","32066","","","","203490","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","1224","","","","1236","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"219685","142182","class","Gemmatimonadetes","1","131567","2","1783270","","142182","","","","219685","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"307596","1117","class","Gloeobacteria","1","131567","2","1783272","1798711","1117","","","","307596","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"795747","1134404","class","Ignavibacteria","1","131567","2","1783270","68336","1134404","","","","795747","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1921781","134625","class","Kiritimatiellae","1","131567","2","1783257","","134625","","","","1921781","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1676648","1239","class","Limnochordia","1","131567","2","1783272","","1239","","","","1676648","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","1783272","","544448","","","","31969","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"909932","1239","class","Negativicutes","1","131567","2","1783272","","1239","","","","909932","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203693","40117","class","Nitrospira","1","131567","2","","","40117","","","","203693","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"414999","74201","class","Opitutae","1","131567","2","1783257","","74201","","","","414999","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"666505","203682","class","Phycisphaerae","1","131567","2","1783257","","203682","","","","666505","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203683","203682","class","Planctomycetia","1","131567","2","1783257","","203682","","","","203683","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84995","201174","class","Rubrobacteria","1","131567","2","1783272","","201174","","","","84995","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"332159","57723","class","Solibacteres","1","131567","2","","","57723","","","","332159","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134549","74201","class","Spartobacteria","1","131567","2","1783257","","74201","","","","134549","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117747","976","class","Sphingobacteriia","1","131567","2","1783270","68336","976","","","","117747","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203692","203691","class","Spirochaetia","1","131567","2","","","203691","","","","203692","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"649775","508458","class","Synergistia","1","131567","2","","","508458","","","","649775","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67799","200940","class","Thermodesulfobacteria","1","131567","2","","","200940","","","","67799","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1497346","201174","class","Thermoleophilia","1","131567","2","1783272","","201174","","","","1497346","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"189775","200795","class","Thermomicrobia","1","131567","2","1783272","","200795","","","","189775","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188708","200918","class","Thermotogae","1","131567","2","","","200918","","","","188708","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1737404","1239","class","Tissierellia","1","131567","2","1783272","","1239","","","","1737404","","","","","","","","","","","","","","","","","","","","","","","","","","",""
